ETF;Geo.mean;Volatility;maxTuW
SPY;0.10490378;2.478601002;309
MDY;0.139547004;2.925897002;327
EWJ;-0.026200569;2.699670663;327
EWH;0.11267242;3.373114419;302
EWG;0.050381036;3.800206472;177
EWW;0.086500488;4.073397427;327
EWA;0.009817807;3.916866026;327
EWS;0.082314746;3.299214604;302
EWM;0.123823554;2.828574617;327
EWI;-0.138991937;4.280533555;327
EWQ;-0.02103484;3.833053806;327
EWD;0.051463518;4.420067868;327
EWN;0.026258527;3.587687821;327
EWK;-0.052810252;3.693431204;327
XLF;-0.069569163;4.170159379;309
XLK;0.149383851;2.623574201;292
XLE;0.078948269;3.656990856;327
XLP;0.159673243;1.721109949;309
XLU;0.075053338;2.225584625;187
XLB;0.095066011;3.475483878;327
EWY;0.041863461;4.549834773;327
IWB;0.111515306;2.517558247;309
IWM;0.104876934;3.184012636;327
IWF;0.14352061;2.481838545;327
IWD;0.075814119;2.661504954;309
IJH;0.139700987;2.900988027;327
IJR;0.127667886;3.102221273;327
IVW;0.14320827;2.394073387;319
IVE;0.065714599;2.700792942;309
IWV;0.110343695;2.571422663;309
IYF;-0.038925335;3.805952831;309
IYZ;0.034328799;2.904723665;327
IYR;0.015721866;3.782755606;322
IYE;0.078805358;3.560805533;319
IDU;0.080376467;2.201621744;187
IYH;0.203630997;2.17847604;309
IYJ;0.11597632;3.045233088;327
IYY;0.112759047;2.529132038;309
IYM;0.084497346;4.020399264;327
IWN;0.066849084;3.201546673;327
IJJ;0.113920188;2.927821676;327
IJT;0.150513819;3.026361281;327
IWW;0.075142701;2.684014531;309
IWZ;0.143976273;2.504753183;327
EZU;-0.027590976;3.794725333;327
IEV;0.000940503;3.369499594;327
MTK;0.143887466;2.994603328;314
DGT;0.012042745;2.612173844;327
IBB;0.336390245;2.889662586;246
IGM;0.171447369;2.817551705;292
RWR;0.042327121;4.001704461;322
VTI;0.113286269;2.568815685;309
IGV;0.19298557;2.986463411;172
IWR;0.133362289;2.88525674;309
IWS;0.113931929;2.874037321;327
IXC;0.014684907;3.631448122;327
IXG;-0.07149554;4.057095644;327
IXJ;0.158562836;2.178258597;187
LQD;0.028326935;1.038638076;321
IEF;0.061276004;0.994589102;188
FEZ;-0.040396404;3.902406795;327
FEU;-0.036621256;3.285219165;326
ADRE;0.016356234;3.922052825;324
ADRA;0.017968299;3.258859987;316
ADRU;-0.009881686;3.344153782;316
EZA;0.029671981;4.457659812;327
EEM;0.043993439;4.007441833;327
RSP;0.135895291;2.857321014;319
AGG;0.024793652;0.59758412;329
ONEQ;0.170726909;2.725773757;324
DVY;0.044710619;2.519000402;342
TIP;0.023588451;1.022988534;313
VO;0.135400175;3.075930003;319
VB;0.131539653;3.157973424;327
VUG;0.150460781;2.602361791;172
VBK;0.153689429;3.239760669;327
VBR;0.105271247;3.149224445;327
VPU;0.082695645;2.218277912;187
VDC;0.174249379;1.733796422;309
VAW;0.113346442;3.60828637;327
JKE;0.147634816;2.573529263;324
JKD;0.129616027;2.37211799;309
JKL;0.112409041;3.357106571;309
JKF;0.035787136;2.731579737;309
JKG;0.150485826;2.929698547;324
JKH;0.148322361;3.044104753;324
VNQ;0.04767535;4.372238136;324
VDE;0.069973415;3.894569354;319
VIS;0.114596875;3.142208255;324
FXI;0.144100142;4.662050034;324
IAU;0.125072128;2.852106264;333
SLV;0.02909721;4.830740768;333
USO;-0.275650801;4.803063832;319
SHY;0.013214811;0.196578723;375
TLT;0.082737493;2.018798918;182
