year;month;totalP;chlorophyl;temp
1984;1;0.0742;0.003;1.99
1984;2;0.0892;0.01075;-0.58
1984;3;0.0282;0.01067;0.95
1984;4;0.0255;0.00167;10.95
1984;5;0.047;0.01667;13.82
1984;6;0.1062;0.02417;16.1
1984;7;0.185;0.01267;17.69
1984;8;0.23;0.02133;18.75
1984;9;0.235;0.00867;14.12
1984;10;0.14;0.014;12.55
1984;11;0.0986;0.00534;6.76
1984;12;0.078;0.003;5
1985;1;0.0937;0.00487;1.45
1985;2;0.074;0.004;-0.4
1985;3;0.0499;0.01477;2.49
1985;4;0.0955;0.07683;5.12
1985;5;0.073;0.04267;15.38
1985;6;0.235;0.00667;14.7
1985;7;0.3;0.02867;17.31
1985;8;0.22;0.02367;16.55
1985;9;0.13;0.023;14.5
1985;10;0.076;0.011;12.43
1985;11;0.1245;0.00867;6.21
1985;12;0.066;0.00441;2
1986;1;0.0861;0.00533;2.22
1986;2;0.0615;0.01;2.11
1986;3;0.0755;0.0495;3.27
1986;4;0.1055;0.03417;6.2
1986;5;0.0625;0.024;12.4
1986;6;0.1015;0.03733;18.48
1986;7;0.17;0.02133;17.1
1986;8;0.3122;0.03662;18.1
1986;9;0.13;0.011;14.07
1986;10;0.087;0.00667;11.4
1986;11;0.065;0.006;7
1986;12;0.084;0.003;6.2
1987;1;0.072;0.0029;0.61
1987;2;0.0703;0.01083;1.25
1987;3;0.0575;0.02133;0.15
1987;4;0.0565;0.02633;6.75
1987;5;0.061;0.01667;10.93
1987;6;0.095;0.026;13.03
1987;7;0.13;0.007;16.55
1987;8;0.093;0.016;16.33
1987;9;0.12;0.06367;14.24
1987;10;0.098;0.00133;10.4
1987;11;0.1;0.00267;7.5
1987;12;0.078;0.001;2.5
1988;1;0.088;0.00167;4.05
1988;2;0.084;0.002;2.3
1988;3;0.075;0.001;2.05
1988;4;0.039;0.06633;5.78
1988;5;0.038;0.01517;13.55
1988;6;0.076;0.01667;18.21
1988;7;0.27;0.03267;18.67
1988;8;0.2;0.02267;17
1988;9;0.17;0.00867;15.38
1988;10;0.14;0.004;8.28
1988;11;0.11;0.00333;4.89
1988;12;0.073;0.002;2.9
1989;1;0.072;0.001;4.25
1989;2;0.096;0.00233;5.8
1989;3;0.057;0.00267;4.95
1989;4;0.026;0.00317;6.02
1989;5;0.033;0.00733;12.82
1989;6;0.077;0.014;17.46
1989;7;0.14;0.01667;18.32
1989;8;0.12;0.004;15.96
1989;9;0.14;0.00767;14.71
1989;10;0.12;0.005;11.38
1989;11;0.093;0.006;7.8
1989;12;0.069;0.00267;3.25
1990;1;0.071;0.00167;2.36
1990;2;0.0695;0.00167;5.32
1990;3;0.05;0.002;6.19
1990;4;0.027;0.01267;8.22
1990;5;0.02;0.01133;14.01
1990;6;0.056;0.01967;16.64
1990;7;0.092;0.006;18.03
1990;8;0.14;0.005;18.17
1990;9;0.15;0.00367;15.21
1990;10;0.099;0.00667;10.71
1990;11;0.086;0.00367;6.93
1990;12;0.089;0.003;3.6
1991;1;0.0605;0.00233;0.5
1991;2;0.0405;0.00133;0.54
1991;3;0.033;0.004;3.83
1991;4;0.0295;0.00367;6.82
1991;5;0.036;0.01317;10.96
1991;6;0.052;0.01;13.87
1991;7;0.12;0.01767;18.45
1991;8;0.3;0.09433;18.1
1991;9;0.24;0.012;15.26
1991;10;0.13;0.024;10.68
1991;11;0.098;0.00467;6.37
1991;12;0.07;0.002;3.9
1992;1;0.067;0.00233;3.75
1992;2;0.04;0.001;2.5
1992;3;0.029;0.0055;4.65
1992;4;0.0305;0.0055;5.7
1992;5;0.043;0.008;13.16
1992;6;0.19;0.027;18.96
1992;7;0.22;0.01333;19.44
1992;8;0.14;0.00567;17.18
1992;9;0.1;0.01467;14.31
1992;10;0.069;0.004;10.16
1992;11;0.086;0.002;4.38
1992;12;0.065;0.00133;4.18
1993;1;0.0645;0.002;1.55
1993;2;0.0455;0.00267;1.57
1993;3;0.034;0.00333;2.65
1993;4;0.0323;0.00356;6.91
1993;5;0.039;0.01383;13.08
1993;6;0.0775;0.01411;16.03
1993;7;0.0748;0.00811;15.59
1993;8;0.0921;0.00942;15.8
1993;9;0.0862;0.00917;11.73
1993;10;0.0672;0.01217;8.03
1993;11;0.08;0.00917;4.33
1993;12;0.045;0.002;2.09
1994;1;0.0485;0.00175;0.83
1994;2;0.0515;0.00167;0.56
1994;3;0.0338;0.01042;2.2
1994;4;0.0337;0.00578;6.97
1994;5;0.0565;0.01833;12.64
1994;6;0.0494;0.022;14.41
1994;7;0.258;0.01878;20.24
1994;8;0.3188;0.05083;18.86
1994;9;0.1335;0.02511;14.01
1994;10;0.0855;0.01767;8.71
1994;11;0.0512;0.00525;6.55
1994;12;0.0585;0.0025;5.08
1995;1;0.0532;0.00225;1.05
1995;2;0.0535;0.00389;2.53
1995;3;0.0265;0.00875;3.23
1995;4;0.0173;0.00644;6.14
1995;5;0.0212;0.003;10.37
1995;6;0.0625;0.01967;16.41
1995;7;0.1394;0.01875;18.94
1995;8;0.2483;0.02533;20.3
1995;9;0.175;0.00922;15.09
1995;10;0.0952;0.01133;10.94
1995;11;0.064;0.00483;4.83
1995;12;0.0538;0.0045;1.74
1996;1;0.0652;0.0125;0.21
1996;2;0.061;0.02333;0.34
1996;3;0.0888;0.02544;2.01
1996;4;0.0598;0.01522;5.28
1996;5;0.0533;0.01411;9.51
1996;6;0.0755;0.01033;15.84
1996;7;0.1082;0.00917;16.55
1996;8;0.1467;0.01689;19.03
1996;9;0.1412;0.01217;14.71
1996;10;0.097;0.01117;10.93
1996;11;0.0733;0.004;8
1996;12;0.0582;0.00125;2.01
1997;1;0.0555;0.02383;0.48
1997;2;0.0378;0.0215;2.1
1997;3;0.0228;0.004;4.33
1997;4;0.024;0.00342;6.03
1997;5;0.0388;0.01378;10.54
1997;6;0.0528;0.00633;16.19
1997;7;0.1262;0.01211;19.7
1997;8;0.2333;0.01378;21.77
1997;9;0.355;0.12092;15.55
1997;10;0.1817;0.012;10.26
1997;11;0.0952;0.02325;5.9
1997;12;0.07;0.01217;0.02
1998;1;0.048;0.005;2.12
1998;2;0.0372;0.0125;3.82
1998;3;0.0238;0.00881;4.03
1998;4;0.0229;0.00495;7
1998;5;0.0279;0.00912;12.61
1998;6;0.0576;0.00755;16.09
1998;7;0.0554;0.00706;16.37
1998;8;0.0729;0.01269;16.18
1998;9;0.0705;0.011;14.85
1998;10;0.0678;0.00475;9.51
1998;11;0.0531;0.0025;3.65
1998;12;0.0458;0.0015;0.95
1999;1;0.0418;0.00088;2.44
1999;2;0.0345;0.00237;1.74
1999;3;0.0188;0.00372;3.2
1999;4;0.0256;0.00271;7.65
1999;5;0.0274;0.00608;11.77
1999;6;0.0558;0.02245;15.99
1999;7;0.1105;0.01508;19.28
1999;8;0.308;0.01077;19.43
1999;9;0.2125;0.01932;17.58
1999;10;0.1069;0.01074;11.08
1999;11;0.0786;0.00479;7.28
1999;12;0.0558;0.00262;2.16
2000;1;0.0438;0.00115;2.61
2000;2;0.0399;0.00112;2.76
2000;3;0.026;0.00457;4.37
2000;4;0.0211;0.00755;8.3
2000;5;0.0334;0.01738;15.38
2000;6;0.0446;0.00979;16.28
2000;7;0.0792;0.0095;16.86
2000;8;0.0979;0.01031;16.91
2000;9;0.0855;0.00588;13.62
2000;10;0.0713;0.01532;12.11
2000;11;0.0566;0.00231;7.91
2000;12;0.0542;0.00135;6.49
2001;1;0.0558;0.00181;1.41
2001;2;0.0484;0.00264;1.37
2001;3;0.0145;0.01086;2.04
2001;4;0.0159;0.004;5.6
2001;5;0.0318;0.00831;12.84
2001;6;0.0434;0.01521;14.28
2001;7;0.1598;0.00908;19.12
2001;8;0.2362;0.0257;18.35
2001;9;0.1838;0.01766;14.87
2001;10;0.0966;0.01397;12.76
2001;11;0.0637;0.00499;7.5
2001;12;0.0557;0.00221;3.75
2002;1;0.0542;0.00242;1.41
2002;2;0.0419;0.00321;4.44
2002;3;0.0248;0.01582;4.02
2002;4;0.0258;0.00807;8.09
2002;5;0.0289;0.00969;13.97
2002;6;0.0595;0.01375;17.89
2002;7;0.0753;0.00758;19.29
2002;8;0.3178;0.01602;21.08
2002;9;0.294;0.0302;16.68
2002;10;0.1362;0.02948;8.49
2002;11;0.0792;0.00491;4.3
2002;12;0.0642;0.00154;1.99
2003;1;0.06;0.00165;2.75
2003;2;0.052;5.00E-04;0.02
2003;3;0.0296;0.01757;3.7
2003;4;0.023;0.00407;7.78
2003;5;0.0259;0.00948;12.46
2003;6;0.0552;0.01129;17.17
2003;7;0.0968;0.01255;19.63
2003;8;0.3113;0.03561;20.63
2003;9;0.158;0.03091;15.71
2003;10;0.0982;0.00356;9.83
2003;11;0.0702;0.00166;6.48
2003;12;0.0478;0.0021;3.77
