t;houseId;Q;Ta;G
02/10/2008;3;NA;9.599246181;63.70047469
03/10/2008;3;NA;10.28563368;111.4144806
04/10/2008;3;NA;9.957948264;116.6804348
05/10/2008;3;NA;8.391128472;116.5485803
06/10/2008;3;NA;9.122251389;54.3847765
07/10/2008;3;NA;9.0405625;153.753525
08/10/2008;3;NA;11.54950625;94.66214281
09/10/2008;3;NA;12.5965375;71.94746521
10/10/2008;3;NA;11.68314826;142.5041453
11/10/2008;3;NA;12.08382449;83.30114316
12/10/2008;3;NA;13.27381597;71.66152793
13/10/2008;3;NA;13.75876563;105.0506947
14/10/2008;3;NA;13.04140035;67.45140086
15/10/2008;3;NA;13.08541458;86.65479003
16/10/2008;3;NA;12.0422434;37.92061736
17/10/2008;3;NA;8.844738194;35.04189688
18/10/2008;3;NA;9.253346181;118.934488
19/10/2008;3;NA;9.752503472;29.95766713
20/10/2008;3;NA;11.44952674;69.56139465
21/10/2008;3;NA;12.18257326;105.6443806
22/10/2008;3;NA;10.64698507;46.65239089
23/10/2008;3;NA;8.408279861;75.31401227
24/10/2008;3;NA;9.086029861;99.56378223
25/10/2008;3;NA;8.907695139;20.14790987
26/10/2008;3;NA;9.027257986;92.56783649
27/10/2008;3;NA;10.45674627;11.85988682
28/10/2008;3;NA;7.490542535;56.69117814
29/10/2008;3;NA;6.294115347;68.0553458
30/10/2008;3;NA;4.40963125;77.01987903
31/10/2008;3;NA;4.377325;36.34483363
01/11/2008;3;NA;3.788580208;83.87977002
02/11/2008;3;NA;5.938200347;32.69597239
03/11/2008;3;NA;7.842928819;16.61735148
04/11/2008;3;NA;7.953192014;18.83350071
05/11/2008;3;NA;7.955637847;9.616181655
06/11/2008;3;NA;8.170437847;12.54348518
07/11/2008;3;NA;8.6134875;12.07414012
08/11/2008;3;NA;8.875979167;7.255900972
09/11/2008;3;NA;7.6525125;28.65215361
10/11/2008;3;NA;7.028564583;37.26806373
11/11/2008;3;NA;8.959092708;36.20507227
12/11/2008;3;NA;8.35045;25.15667096
13/11/2008;3;NA;6.795908333;15.98888057
14/11/2008;3;NA;6.294843403;45.69757058
15/11/2008;3;NA;9.054169444;11.14669179
16/11/2008;3;NA;9.471522569;10.8801234
17/11/2008;3;NA;6.405257986;33.37114834
18/11/2008;3;NA;3.768064236;52.18911116
19/11/2008;3;NA;5.042286458;19.05520693
20/11/2008;3;NA;7.403356944;14.39394811
21/11/2008;3;NA;5.750870139;32.10384802
22/11/2008;3;NA;1.023155556;50.38455208
23/11/2008;3;NA;0.593445139;51.13173709
24/11/2008;3;NA;0.620422917;43.78540116
25/11/2008;3;NA;0.005795833;47.77858231
26/11/2008;3;NA;1.083604514;46.48512307
27/11/2008;3;NA;5.755926389;13.27751928
28/11/2008;3;NA;7.26610625;7.753053212
29/11/2008;3;NA;4.662204514;16.4423383
30/11/2008;3;NA;1.908495833;7.719791701
01/12/2008;3;2.099999905;2.712947917;8.553098356
02/12/2008;3;3.507692313;2.586505208;20.80826781
03/12/2008;3;3.638194425;2.678575347;14.41739124
04/12/2008;3;3.438194453;0.602563889;6.871117917
05/12/2008;3;3.824305556;1.231940278;16.9126043
06/12/2008;3;3.529166667;4.048460069;8.867398785
07/12/2008;3;3.625694436;3.579759028;9.988343235
08/12/2008;3;3.270833332;3.424258681;25.77964491
09/12/2008;3;3.147916677;5.293059375;6.710175758
10/12/2008;3;3.659722207;2.70665;9.25503261
11/12/2008;3;4.142361113;0.55979375;35.11145193
12/12/2008;3;4.109027767;1.006252778;9.185871476
13/12/2008;3;3.92777777;0.748823958;18.67131856
14/12/2008;3;4.548611126;1.797163889;6.735438368
15/12/2008;3;3.658208964;3.16466875;9.775742384
16/12/2008;3;3.886111117;2.704770833;3.606445266
17/12/2008;3;3.368055561;3.107435764;6.794826956
18/12/2008;3;3.667361097;2.154055082;5.619429933
19/12/2008;3;3.691666668;2.336688889;14.91876372
20/12/2008;3;3.462500008;4.123569792;30.09063896
21/12/2008;3;3.160416661;5.624380556;19.51634058
22/12/2008;3;3.056944441;5.903403125;11.55662516
23/12/2008;3;3.193749992;6.297672222;23.56459343
24/12/2008;3;3.025000004;4.545383681;21.56465404
25/12/2008;3;3.756249977;4.940600694;24.18611568
26/12/2008;3;3.602083332;1.880390972;9.560610069
27/12/2008;3;3.977777776;0.655636806;14.16050944
28/12/2008;3;3.702083341;0.878119097;12.0335009
29/12/2008;3;3.649999988;1.791438542;9.743285162
30/12/2008;3;4.017361118;0.810637153;20.58216196
31/12/2008;3;3.96458333;-2.005790278;28.66136586
01/01/2009;3;4.661538463;-1.863356944;15.7029646
02/01/2009;3;4.855555563;-0.619622569;24.88860846
03/01/2009;3;4.68958333;-2.342693056;32.64679935
04/01/2009;3;4.11388888;1.073038889;18.29367214
05/01/2009;3;4.02013888;-0.960651389;12.2634846
06/01/2009;3;4.418749975;-5.621720833;41.20874414
07/01/2009;3;5.103658537;-2.0797375;25.93415698
08/01/2009;3;NA;-1.182199306;40.97706099
09/01/2009;3;NA;-1.051914931;32.98955112
10/01/2009;3;NA;3.174048611;22.66224878
11/01/2009;3;NA;1.103219444;15.51929108
